Uniq Id,Product Name,Category,Selling Price,About Product,Image,Num Stars,In Stock
1,To-Fu The Trials of Chi,HotGen,20,"To-Fu The Trials of Chi is an inventive action-puzzle mobile game developed by HotGen Limited, which beckons players into a world of unique gameplay mechanics and charming visuals. The protagonist, a stretchy, bouncy chunk of tofu, embarks on an odyssey through 100 stages, each one a complicated puzzle involving walls of different types, deadly traps, and challenges to overcome. The character can stretch, ping, stick, and rebound off the environments in his quest to reach the Fortune Kitty at the end of each level - delivering an innovative twist on classic platform-based gameplay.

With a backdrop of beautifully hand-drawn artwork and an atmospheric original soundtrack, To-Fu The Trials of Chi successfully manages to create",https://raw.githubusercontent.com/hypermodeinc/instant-vector-search-devolver/main/backend/extras/opengraph-image.jpg,5,True
2,Spacelings,HotGen,20,"Spacelings is a gripping interstellar themed strategy game that marries stunning graphics with intricate gameplay, truly an inviting proposition for any gaming enthusiast. The core premise revolves around ingenious alien beings known as Spacelings who, having been scattered across the universe due to a malfunction in their spaceship, are beckoning for the players help to get back home. As a player, youre tasked with utilizing a variety of quirky tools and gadgetries, such as teleportation devices, energy beams and explosives to safely usher the Spacelings back to their spaceship, while skillfully sidestepping obstacles and malicious black holes. Touted for its intricate levels that gradually escalate in difficulty and the intense strategic decision making it demands, this game offers",https://raw.githubusercontent.com/hypermodeinc/instant-vector-search-devolver/main/backend/extras/opengraph-image.jpg,4,True
3,To-Fu 2,HotGen,50,"To-Fu 2 is a distinctive and innovative casual puzzle game developed and published by HotGen. The game amalgamates the elements of strategy and reflex testing to create a unique, challenging, yet highly addictive gaming platform. The star of the game, To-Fu, is an elastic and versatile cube of tofu that players control to manoeuvre through a series of increasingly complex mazes. The gameplay entails bouncing, sliding, stretching, and even revving up the tofu to strike with a certain level of elasticity and precision, making the puzzles more intriguing and engaging.

The games underlying charm lies in its simple yet compelling graphical presentation. Boasting a minimalist style with aesthetically pleasing environments, To-Fu 2 ensures",https://raw.githubusercontent.com/hypermodeinc/instant-vector-search-devolver/main/backend/extras/opengraph-image.jpg,5,True
4,Dungeon Hearts,Cube Roots,20,"""Dungeon Hearts"" is a strategic, fast-paced match-three puzzle game with an exciting role-playing element. Crafted by Cube Roots, the game masterfully fuses two popular game genres, combining the strategic planning of an RPG with the quick-thinking mechanics of a puzzler. The game takes you on a thrilling adventure where you lead a band of four warriors tasked with the daunting mission of defeating monstrous creatures and ultimately, the Dark One. Through matching colored gemstones on a continually-moving conveyor belt, you power up your heroes, launch attacks, and cast spells to defeat enemies.

""Dungeon Hearts"" is a visually striking game with a gorgeous aesthetic resonating closely with japonisme art. Each hero bears a unique set of abilities that can be upgraded using points",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/229520/header.jpg?,5,True
5,Foul Play,Mediatonic,40,"""Foul Play"" is an inventive and entertaining side-scrolling brawler game developed by Mediatonic. The game shadows the adventures of daemon-hunting duo - Baron Dashforth and his sidekick, Scampwick, enacted on a Victorian-era theater stage. The setting nominally set in different parts of the world like Egypt, Atlantis, among others, brings an original and immersive aesthetic to the game. ""Foul Play"" features a fondly devised combo-based combat system. You engage in fisticuffs with underworld denizens and chain punches, parries, and throws into spectacular ""showstopper"" combos to keep the audience thrilled.

Remarkably, the game doesnt contain a traditional life bar. Instead, it showcases a mood",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/244810/header.jpg?,4,True
6,Shadow Warrior,Flying Wild Hog,10,"Shadow Warrior is a reboot of the 1997 first-person shooter game, brought back to life by the developers Flying Wild Hog and published by Devolver Digital. The game elegantly combines old-school FPS gameplay elements with modern 3D environments and graphics. Shadow Warriors story is centered around the quintessential warrior Lo Wang, a corporate shogun for Zilla Enterprises who is ordered to acquire a legendary blade of unlimited power. This quest brings him face-to-face with demonic forces, leading to an action-packed battle interlaced with sharp humor.

The game mixes visceral gunplay with sharp melee combat, presenting an intricate set of scenarios where you can slice, dice, and maim your foes. Through its dynamic combat system, players can choose between",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/233130/header.jpg?,5,True
7,Viscera Cleanup Detail Shadow Warrior,RuneStorm,10,"""Viscera Cleanup Detail Shadow Warrior"" is a unique and amusing first-person janitorial simulation set in the aftermath of violent and gruesome combats from the eponymous Shadow Warrior game. But instead of taking on the role of the battle-hardened warrior, you step into the rubber boots of the clean-up crew thats tasked with sanitizing the mess left behind. From the SpeedTree powered foliage system to the high-quality destructible environments powered by Unreal Engine 3, the game impressively mimics the original games environment but with an added twist of humor and satire.

The game mechanics mainly revolve around mopping up blood, collecting body parts, throwing away trash, and fixing bullet holes. Packed with a variety of cleaning",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/255520/header.jpg?,4,True
8,Defense Technica,Kuno Interactive,30,"""Defense Technica"" is a challenging and dynamic tower-defense game developed by Com2uS. It is set in a science-fiction universe, filled with beautifully rendered 3D landscapes and intense battles against a variety of mechanical enemies. The game leverages its polished graphics, strategic gameplay, and immersive storylines to provide an engaging single-player experience. In ""Defense Technica"", players have to strategically build and upgrade towers to defend against waves of relentless invaders, set in a variety of terrain that requires strategic deployment of the defense towers.

The gameplay in ""Defense Technica"" relies heavily on your decision-making ability, making it an intense, high-stakes experience where one wrong move can tip the scales either way. Each tower comes with its own strengths",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/233110/header.jpg?,5,True
9,Luftrausers,Vlambeer,10,"Luftrausers is a bold and innovative arcade-style shooter game developed by the Dutch indie studio Vlambeer. The game offers an intense aerial combat experience, set in a unique sepia-toned World War II era. Players take the role of a talented fighter pilot, surging through the rich, stylized 2D environments, while battling a myriad of enemies, which include planes, battleships, submarines, and much more. The gameplay is a riveting blend of agility, skill, and strategy as players maneuver their plane through waves of enemy fire and counterattacks.

The standout feature of Luftrausers is its expansive customizability. With over 125 potential combinations of weapons, bodies, and propulsion systems for your",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/233150/header.jpg?,5,True
10,Always Sometimes Monsters,Vagabond Dog,20,"""Always Sometimes Monsters"" is a unique role-playing game developed by Vagabond Dog and published by Devolver Digital. Released for multiple platforms like Windows, Android, and iOS, the game takes players on an existential journey enveloped in a rich narrative that explores the intricate challenges of life, unrequited love, and personal morality. The game is couched in a beautiful 2D pixel graphics style which, when coupled with an emotional soundtrack, creates a melancholic yet captivating atmosphere. The game dramatically illustrates the pressing issues of social discrimination, depression, and even suicide. 

""Always Sometimes Monsters"" gives players a refreshing level of freedom, allowing them to choose their character, background, and even in-game choices, hence leading to different outcomes",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/274310/header.jpg,5,True
11,Dungeon Hearts Blitz,Tangent,10,"""Dungeon Hearts Blitz"" is a dynamic, fast-paced strategy game that expertly blends role-playing elements with intricate puzzle mechanics. Set in a richly designed fantasy world where players must battle through treacherous dungeons, the game primarily focuses on team-based strategy and quick thinking. Players must master the fast-action puzzle gameplay, where they line up colorful gems to strike their enemies and employ special abilities to turn the tide of the battle. The games animated visuals and aesthetically pleasing stage design are distinct and colorful, creating an immersive gaming atmosphere for players.

The games intriguing core mechanics are complemented by a wide variety of charismatic heroes, each with unique skills and abilities. The RPG mechanics allow for hero upgrading and progression, adding a layer of depth",https://raw.githubusercontent.com/hypermodeinc/instant-vector-search-devolver/main/backend/extras/opengraph-image.jpg,4,True
12,OlliOlli,Roll7,40,"OlliOlli is an engaging and addictive 2D skateboarding game developed by British indie studio Roll7. This side-scrolling skateboard simulation takes a highly technical and in-depth approach to the skateboarding genre, bringing a thrilling gameplay experience with a blend of accurately crafted physics mechanics. Players character skates across various landscapes, including city streets, tropical beaches, and even the neon lights of a future metropolis, performing tricks like slides, grinds, flips, combos to score points, and compete on global leaderboards.

One of the most remarkable features of OlliOlli is the control mechanics. Though initially complex, once mastered, it delivers a profound sense of accomplishment. The game demands timing precision from its players that adds challenge and depth",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/274250/header.jpg,5,True
13,Gods Will Be Watching,Deconstructeam,50,"""Gods Will Be Watching"" is a point-and-click adventure game developed by Deconstructeam and published by Devolver Digital. Set in a futuristic universe, the game introduces players to narrative-driven gameplay with its thematic undertones peeling back layers to critically examine issues like morality and survival. The story follows a protagonist named Sgt. Burden and his team, who need to make tough decisions in a series of intense situations involving hostage crises, biological weapon prevention, and wilderness survival. Each chapter presents a meticulously crafted scenario representative of a self-contained point-and-click puzzle game, involving ethical choices and pushing the boundary of decision-making.

The games mechanics revolve around making tough strategic decisions under severe pressure, appropriately fitting its tagline, ""a point-and",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/274290/header.jpg,4,True
14,The Expendabros,Free Lives,20,"""The Expendabros"" is a frenetic and exhilarating shoot-em-up game developed by Free Lives and published by Devolver Digital. A crossover between the teams original title, ""Broforce,"" and the action movie, ""The Expendables 3,"" the game brilliantly captures the essence of both, providing players with a fast-paced action experience. The look and feel of the game is distinctly retro with its pixelated 2-D graphics design evoking memories of classic side-scrollers from the 90s, yet modern in its gameplay mechanics and explosive action sequences. 

In ""The Expendabros,"" you get to play as one of the seven available characters, each representing a character from ""The Expendables 3",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/312990/header.jpg,4,True
15,Heavy Bullets,Terri Vellmann,30,"Heavy Bullets is a fast-paced, first-person shooter developed by Terri Vellmann and published by Devolver Digital. The game marries the Randomly Generated Levels Roguelike and First Person Shooter genres in an innovative way, creating an adrenaline-fueled adventure through a neon-hued, danger-ridden labyrinth. Each level is packed with hostile environments, full of beasts and machines trying to prevent you from exploring deeper into the wild depths of the game world.

What makes Heavy Bullets special is its interesting ammunition conservation mechanic where the bullets, once fired, can be retrieved and reused, adding a unique strategy layer to each combat engagement. Moreover, once your character dies, you have to start from the beginning, but your in",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/297120/header.jpg,5,True
16,Sigils of Elohim,Croteam,10,"Sigils of Elohim is an exciting prelude to the larger game The Talos Principle. Developed by Croteam, the game introduces players to the universe of The Talos Principle with a collection of enigmatic, maze-like puzzles. Nolan Baker perfectly crafts the music, adding an intense, mystifying tone that complements the gameplay, while the hallowed architecture and cryptic sigils contribute greatly to the visually intriguing atmosphere.

The gameplay of Sigils of Elohim is based on logic, with a simple yet addictive tetromino-dragging mechanic at its core. The player must fit different block shapes equitably within a specified area, a concept simple in theory but potentially complex in practise. Progressing through different levels",https://raw.githubusercontent.com/hypermodeinc/instant-vector-search-devolver/main/backend/extras/opengraph-image.jpg,4,True
17,Fork Parkers Holiday Profit Hike,Dodge Roll,40,"Fork Parkers Holiday Profit Hike is a delightfully charming indie platformer that satirically taps into the holiday seasons commercial spirit. In the game, you assume the role of Fork Parker, an aging video game executive working for Devolver Digital, on a mission to scale treacherous mountain peaks in a bid to enhance the companys profits during the holiday season. The games mechanics revolve around the use of an ice pick and ropes to scale cliffs and jump across chasms, reminiscent of gameplay from classic retro games, rendering a sense of nostalgia.

The aesthetic design of Fork Parkers Holiday Profit Hike is brilliantly captivating and colorful, which, in synergy with its catchy and upbeat holiday-themed music,",https://raw.githubusercontent.com/hypermodeinc/instant-vector-search-devolver/main/backend/extras/opengraph-image.jpg,5,True
18,Titan Souls,Acid Nerve,50,"""Titan Souls"" is a 2D, top-down action-adventure game that brings the player into an intriguing world filled with giant titans that need to be conquered. Developed by Acid Nerve and published by Devolver Digital, the games central theme revolves around intense, single-hit death combat that involves using agility, strategy, and quick thinking. You embody a lone protagonist armed with a single arrow, tasked with facing and defeating numerous titan bosses which each present unique challenges and tactics for the player to decipher.

The game carries an aura of mystery through its minimalist narrative and cryptic environmental storytelling; the artistic aesthetic complements its robust gameplay mechanics. The gorgeous pixel art and atmospheric soundtrack enhance a mystical, ancient world ripe for exploration. Yet, the",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/297130/capsule_231x87.jpg,4,True
19,Not a Hero,Roll7,20,"Not a Hero is a pixel art, run-and-gun style indie game developed by Roll7 and published by Devolver Digital. Set in a captivating and humorous post-apocalyptic world, the game introduces the player to a unique combat system involving tactical slide and cover mechanics, encouraging a fast-paced strategy. It features an engaging storyline full of comical dialogues, quirky characters, and fever-pitched action, where players take the role of a campaign manager for an anthropomorphic rabbit from the future, humorously named BunnyLord, tasked with cleaning the city of crime to win the mayoral elections. 

One of the significant highlights of Not a Hero is its highly dynamic level design packed with non-stop frenetic action, challenging the player to",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/274270/header.jpg,4,True
20,Ronin,Tomasz Wacławek,30,"Ronin, developed by Tomasz Wacławek and published by Devolver Digital, is a unique hybrid of turn-based action and fluid platformer elements, strung together with a compelling narrative. You play as a nameless heroine on a personal vendetta, tracking down five members of a nefarious corporation responsible for her fathers death. Presented in a charming 2D cyberpunk aesthetic, the game unfolds across a series of levels filled with guards and security systems that stand between you and your targets.

What sets Ronin apart is its one-of-a-kind combat system. It hinges on careful planning and strategic execution, representing an unusual blend of real-time movement and turn-based combat. The gameplay flow is graceful, requiring players to",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/274230/header.jpg?,4,True
21,Breach & Clear Deadline,"Mighty Rabbit Studios
Gun Media",40,"Breach & Clear Deadline is an intriguing strategy game that seamlessly blends elements of action, role-playing, and tactics genres. Developed by Mighty Rabbit Studios, this game presents players with complex and immersive gaming experiences. In this sequel to the Breach & Clear, players are cast into an apocalypse-themed landscape where they must use their tactical prowess to combat an onslaught of undead hordes. In terms of the narrative context, Breach & Clear Deadline places players in the command of Special Operations Forces who must infiltrate zombie-infested territories, manage team resources, and carry out missions to navigate their way through the game’s grid-based and real-time environments.

The gameplay of Breach & Clear Deadline offers a realistic, intense,",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/310890/header.jpg,5,True
